,Series_Title,Released_Year,Genre,Overview,IMDB_Rating,Director,Stars
80,Paths of Glory,1957,drama war,refus attack enemi posit gener accus soldier cowardic command offic defend,8.4,stanley kubrick,kirk dougla ralph meeker adolph menjou georg macreadi
81,Rear Window,1954,mysteri thriller,wheelchairbound photograph spi neighbor apart window convinc commit murder,8.4,alfr hitchcock,jame stewart grace kelli wendel corey thelma ritter
82,Sunset Blvd.,1950,drama filmnoir,screenwrit develop danger relationship fade film star determin make triumphant return,8.4,billi wilder,william holden gloria swanson erich von stroheim nanci olson
83,The Great Dictator,1940,comedi drama war,dictat adenoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim,8.4,charl chaplin,charl chaplin paulett goddard jack oaki reginald gardin
84,1917,2019,drama thriller war,april th regiment assembl wage war deep enemi territori soldier assign race time deliv messag stop men walk straight deadli trap,8.3,sam mend,deancharl chapman georg mackay daniel may colin firth
85,Tumbbad,2018,drama fantasi horror,mytholog stori goddess creat entir univers plot revolv consequ human build templ firstborn,8.3,rahi anil barv,anand gandhi adesh prasad sohum shah jyoti malsh
86,Andhadhun,2018,crime drama music,seri mysteri event chang life blind pianist report crime technic know,8.3,sriram raghavan,ayushmann khurrana tabu radhika apt anil dhawan
87,Drishyam,2013,crime drama thriller,man goe extrem length save famili punish famili commit accident crime,8.3,jeethu joseph,mohanl meena asha sharath ansiba
88,Jagten,2012,drama,teacher live lone life struggl son custodi life slowli get better find love receiv good news son new luck brutal shatter innoc littl lie,8.3,thoma vinterberg,mad mikkelsen thoma bo larsen annika wedderkopp lass fogelstrøm
89,Jodaeiye Nader az Simin,2011,drama,marri coupl face difficult decis improv life child move countri stay iran look deterior parent alzheim diseas,8.3,asghar farhadi,payman maadi leila hatami sareh bayat shahab hosseini
90,Incendies,2010,drama mysteri war,twin journey middl east discov famili histori fulfil mother wish,8.3,deni villeneuv,lubna azab mélissa désormeauxpoulin maxim gaudett mustafa kamel
91,Miracle in cell NO.7,2019,drama,stori love mentallyil father wrongli accus murder love year old daughter prison home base korean movi beonbangui seonmul,8.3,mehmet ada öztekin,ara bulut iynemli nisa sofiya aksongur deniz baysal celil toyon uysal
92,Babam ve Oglum,2005,drama famili,famili leftw journalist torn apart militari coup turkey,8.3,çagan irmak,çetin tekindor fikret kuskan hümeyra ege tanman
93,Inglourious Basterds,2009,adventur drama war,nazioccupi franc world war ii plan assassin nazi leader group jewish soldier coincid theatr owner veng plan,8.3,quentin tarantino,brad pitt dian kruger eli roth mélani laurent
94,Eternal Sunshine of the Spotless Mind,2004,drama romanc scifi,relationship turn sour coupl undergo medic procedur eras memori,8.3,michel gondri,jim carrey kate winslet tom wilkinson gerri robert byrn
95,Amélie,2001,comedi romanc,améli innoc naiv girl pari sens justic decid help way discov love,8.3,jeanpierr jeunet,audrey tautou mathieu kassovitz rufu lorella cravotta
96,Snatch,2000,comedi crime,unscrupul box promot violent bookmak russian gangster incompet amateur robber supposedli jewish jewel fight track priceless stolen diamond,8.3,guy ritchi,jason statham brad pitt benicio del toro denni farina
97,Requiem for a Dream,2000,drama,druginduc utopia coney island peopl shatter addict run deep,8.3,darren aronofski,ellen burstyn jare leto jennif connelli marlon wayan
98,American Beauty,1999,drama,sexual frustrat suburban father midlif crisi infatu daughter best friend,8.3,sam mend,kevin spacey annett bene thora birch we bentley
99,Good Will Hunting,1997,drama romanc,hunt janitor mit gift mathemat need help psychologist direct life,8.3,gu van sant,robin william matt damon ben affleck stellan skarsgård
100,Bacheha-Ye aseman,1997,drama famili sport,boy lose sister pair shoe goe seri adventur order tri new way win new pair,8.3,majid majidi,mohammad amir naji amir farrokh hashemian bahar seddiqi nafis jafarmohammadi
101,Toy Story,1995,anim adventur comedi,cowboy doll profoundli threaten jealou new spaceman figur supplant toy boy room,8.3,john lasset,tom hank tim allen don rickl jim varney
102,Braveheart,1995,biographi drama histori,scottish warrior william wallac lead countrymen rebellion free homeland tyranni king edward england,8.3,mel gibson,mel gibson sophi marceau patrick mcgoohan angu macfadyen
103,Reservoir Dogs,1992,crime drama thriller,simpl jewelri heist goe horribl wrong surviv crimin begin suspect polic inform,8.3,quentin tarantino,harvey keitel tim roth michael madsen chri penn
104,Full Metal Jacket,1987,drama war,pragmat marin observ dehuman effect vietnam war fellow recruit brutal boot camp train bloodi street fight hue,8.3,stanley kubrick,matthew modin r lee ermey vincent donofrio adam baldwin
105,Idi i smotri,1985,drama thriller war,find old rifl young boy join soviet resist movement ruthless german forc experi horror world war ii,8.3,elem klimov,aleksey kravchenko olga mironova liubomira lauceviciu vlada bagdona
106,Aliens,1986,action adventur scifi,fiftyseven year surviv apocalypt attack aboard space vessel merciless space creatur offic ripley awaken hypersleep tri warn listen predat,8.3,jame cameron,sigourney weaver michael biehn carri henn paul reiser
107,Amadeus,1984,biographi drama histori,life success troubl wolfgang amadeu mozart told antonio salieri contemporan compos insan jealou mozart talent claim murder,8.3,milo forman,f murray abraham tom hulc elizabeth berridg roy dotric
108,Scarface,1983,crime drama,miami determin cuban immigr take drug cartel succumb greed,8.3,brian palma,al pacino michel pfeiffer steven bauer mari elizabeth mastrantonio
109,Star Wars: Episode VI - Return of the Jedi,1983,action adventur fantasi,dare mission rescu han solo jabba hutt rebel dispatch endor destroy second death star luke struggl help darth vader dark fall emperor trap,8.3,richard marquand,mark hamil harrison ford carri fisher billi dee william
110,Das Boot,1981,adventur drama thriller,claustrophob world wwii german uboat boredom filth sheer terror,8.3,wolfgang petersen,jürgen prochnow herbert grönemey klau wennemann hubertu bengsch
111,Taxi Driver,1976,crime drama,mental unstabl veteran work nighttim taxi driver new york citi perceiv decad sleaz fuel urg violent action attempt liber presidenti campaign worker underag prostitut,8.3,martin scorses,robert niro jodi foster cybil shepherd albert brook
112,The Sting,1973,comedi crime drama,grifter team pull ultim,8.3,georg roy hill,paul newman robert redford robert shaw charl durn
113,A Clockwork Orange,1971,crime drama scifi,futur sadist gang leader imprison volunt conductavers experi doesnt plan,8.3,stanley kubrick,malcolm mcdowel patrick mage michael bate warren clark
114,2001: A Space Odyssey,1968,adventur scifi,discov mysteri artifact buri beneath lunar surfac mankind set quest origin help intellig supercomput hal,8.3,stanley kubrick,keir dullea gari lockwood william sylvest daniel richter
115,Per qualche dollaro in più,1965,western,bounti hunter intent team track western outlaw,8.3,sergio leon,clint eastwood lee van cleef gian maria volontè mara krupp
116,Lawrence of Arabia,1962,adventur biographi drama,stori te lawrenc english offic success unit led divers war arab tribe world war order fight turk,8.3,david lean,peter otool alec guin anthoni quinn jack hawkin
117,The Apartment,1960,comedi drama romanc,man tri rise compani let execut use apart tryst complic romanc ensu,8.3,billi wilder,jack lemmon shirley maclain fred macmurray ray walston
118,North by Northwest,1959,adventur mysteri thriller,new york citi advertis execut goe run mistaken govern agent group foreign spi,8.3,alfr hitchcock,cari grant eva mari saint jame mason jessi royc landi
119,Vertigo,1958,mysteri romanc thriller,polic detect juggl wrestl person demon obsess hauntingli beauti woman,8.3,alfr hitchcock,jame stewart kim novak barbara bel gedd tom helmor
120,Singin' in the Rain,1952,comedi music romanc,silent film product compani cast make difficult transit sound,8.3,stanley donen,gene kelli gene kelli donald oconnor debbi reynold
121,Ikiru,1952,drama,bureaucrat tri mean life discov termin cancer,8.3,akira kurosawa,takashi shimura nobuo kaneko shinichi himori haruo tanaka
122,Ladri di biciclette,1948,drama,postwar itali workingclass man bicycl stolen son set,8.3,vittorio sica,lamberto maggiorani enzo staiola lianella carel elena altieri
123,Double Indemnity,1944,crime drama filmnoir,insur repres let talk seduct housewif murderinsur fraud scheme arous suspicion insur investig,8.3,billi wilder,fred macmurray barbara stanwyck edward g robinson byron barr
124,Citizen Kane,1941,drama mysteri,follow death publish tycoon charl foster kane report scrambl uncov mean final utter rosebud,8.3,orson well,orson well joseph cotten dorothi comingor agn moorehead
125,M - Eine Stadt sucht einen Mörder,1931,crime mysteri thriller,polic german citi unabl catch childmurder crimin join manhunt,8.3,fritz lang,peter lorr ellen widmann ing landgut otto wernick
126,Metropolis,1927,drama scifi,futurist citi sharpli divid work class citi planner son citi mastermind fall love workingclass prophet predict come savior mediat differ,8.3,fritz lang,brigitt helm alfr abel gustav fröhlich rudolf kleinrogg
127,The Kid,1921,comedi drama famili,tramp care abandon child event relationship jeopardi,8.3,charl chaplin,charl chaplin edna purvianc jacki coogan carl miller
128,Chhichhore,2019,comedi drama,tragic incid forc anirudh middleag man trip memori lane reminisc colleg day friend label loser,8.2,nitesh tiwari,sushant singh rajput shraddha kapoor varun sharma prateik
129,Uri: The Surgical Strike,2018,action drama war,indian armi special forc execut covert oper aveng kill fellow armi men base terrorist group,8.2,aditya dhar,vicki kaushal paresh rawal mohit raina yami gautam
130,K.G.F: Chapter 1,2018,action drama,s fierc rebel rise brutal oppress symbol hope legion downtrodden peopl,8.2,prashanth neel,yash srinidhi shetti ramachandra raju archana joi
131,Green Book,2018,biographi comedi drama,workingclass italianamerican bouncer driver africanamerican classic pianist tour venu s american south,8.2,peter farrelli,viggo mortensen mahershala ali linda cardellini sebastian maniscalco
132,"Three Billboards Outside Ebbing, Missouri",2017,comedi crime drama,mother person challeng local author solv daughter murder fail catch culprit,8.2,martin mcdonagh,franc mcdormand woodi harrelson sam rockwel caleb landri jone
133,Talvar,2015,crime drama mysteri,experienc investig confront conflict theori perpetr violent doubl homicid,8.2,meghna gulzar,irrfan khan konkona sen sharma neeraj kabi sohum shah
134,Baahubali 2: The Conclusion,2017,action drama,shiva son bahubali learn heritag begin look answer stori juxtapos past event unfold mahishmati kingdom,8.2,ss rajamouli,prabha rana daggubati anushka shetti tamannaah bhatia
135,Klaus,2019,anim adventur comedi,simpl act kind spark frozen faraway place smeerensburg new postman jesper befriend toymak klau gift melt ageold feud deliv sleigh holiday tradit,8.2,sergio pablo,carlo martínez lópez jason schwartzman jk simmon rashida jone
136,Drishyam,2015,crime drama mysteri,desper measur taken man tri save famili dark law commit unexpect crime,8.2,nishik kamat,ajay devgn shriya saran tabu rajat kapoor
137,Queen,2013,adventur comedi drama,delhi girl tradit famili set solo honeymoon marriag get cancel,8.2,vika bahl,kangana ranaut rajkummar rao lisa haydon jeffrey ho
138,Mandariinid,2013,drama war,war rage abkhazia breakaway region georgia estonian man ivo decid stay harvest crop tangerin bloodi conflict door wound man left ivo take,8.2,zaza urushadz,lembit ulfsak elmo nüganen giorgi nakashidz misha meskhi
139,Bhaag Milkha Bhaag,2013,biographi drama sport,truth ascens milkha singh scar indiapakistan partit,8.2,rakeysh omprakash mehra,farhan akhtar sonam kapoor pawan malhotra art malik
140,Gangs of Wasseypur,2012,action comedi crime,clash sultan shahid khan lead expuls khan wasseypur ignit deadli blood feud span gener,8.2,anurag kashyap,manoj bajpaye richa chadha nawazuddin siddiqui tigmanshu dhulia
141,Udaan,2010,drama,expel school year old boy return home abus oppress father,8.2,vikramaditya motwan,rajat barmecha ronit roy manjot singh ram kapoor
142,Paan Singh Tomar,2012,action biographi crime,stori paan singh tomar indian athlet seventim nation steeplechas champion fear dacoit chambal valley retir,8.2,tigmanshu dhulia,irrfan khan mahi gill rajesh abhay hemendra dandotiya
143,El secreto de sus ojos,2009,drama mysteri romanc,retir legal counselor write novel hope closur past unresolv homicid case unreciproc love superior haunt decad later,8.2,juan josé campanella,ricardo darín soledad villamil pablo rago carla quevedo
144,Warrior,2011,action drama sport,youngest son alcohol boxer return home he train father competit mix martial art tournament path put fighter collis cours estrang older brother,8.2,gavin oconnor,tom hardi nick nolt joel edgerton jennif morrison
145,Shutter Island,2010,mysteri thriller,marshal investig disappear murder escap hospit crimin insan,8.2,martin scorses,leonardo dicaprio emili mortim mark ruffalo ben kingsley
146,Up,2009,anim adventur comedi,yearold carl fredricksen travel paradis fall hous equip balloon inadvert take young stowaway,8.2,pete docter,bob peterson edward asner jordan nagai john ratzenberg
147,The Wolf of Wall Street,2013,biographi crime drama,base true stori jordan belfort rise wealthi stockbrok live high life fall involv crime corrupt feder govern,8.2,martin scorses,leonardo dicaprio jonah hill margot robbi matthew mcconaughey
148,Chak De! India,2007,drama famili sport,kabir khan coach indian women nation hockey team dream make girl team emerg victori odd,8.2,shimit amin,shah rukh khan vidya malvad sagarika ghatg shilpa shukla
149,There Will Be Blood,2007,drama,stori famili religion hatr oil mad focus turnofthecenturi prospector earli day busi,8.2,paul thoma anderson,daniel daylewi paul dano ciarán hind martin stringer
150,Pan's Labyrinth,2006,drama fantasi war,falangist spain bookish young stepdaught sadist armi offic escap eeri captiv fantasi world,8.2,guillermo del toro,ivana baquero ariadna gil sergi lópez maribel verdú
151,Toy Story 3,2010,anim adventur comedi,toy mistakenli deliv daycar center instead attic right andi leav colleg woodi convinc toy werent abandon return home,8.2,lee unkrich,tom hank tim allen joan cusack ned beatti
152,V for Vendetta,2005,action drama scifi,futur british tyranni shadowi freedom fighter known alia v plot overthrow help young woman,8.2,jame mcteigu,hugo weav natali portman rupert grave stephen rea
153,Rang De Basanti,2006,comedi crime drama,stori young indian assist english woman film documentari freedom fighter past event lead reliv longforgotten saga freedom,8.2,rakeysh omprakash mehra,aamir khan soha ali khan siddharth sharman joshi
154,Black,2005,drama,cathart tale young woman hear talk teacher bring ray light dark world,8.2,sanjay leela bhansali,amitabh bachchan rani mukerji shernaz patel ayesha kapoor
155,Batman Begins,2005,action adventur,train mentor batman begin fight free crimeridden gotham citi corrupt,8.2,christoph nolan,christian bale michael cain ken watanab liam neeson
